trade_year,trade_flow,partner_code,commodities_code,quantity,units,weight_kg,trade_value
2022,Import,764,710813,5.025,kg,5.025,29859.464
2022,Import,784,710813,0.003,kg,0.003,146.606
2022,Import,826,710813,38.212,kg,38.212,787104.866
2022,Import,842,710813,535.473,kg,535.473,23294225.448
2022,Export,156,710811,29.128,kg,29.128,1710102.025
2022,Export,251,710811,58.67,kg,58.67,1981312.753
2022,Export,276,710811,15.883,kg,15.883,451917.35
2022,Export,348,710811,0.007,kg,0.007,333.005
2022,Export,376,710811,0.376,kg,0.376,18396.965
2022,Export,380,710811,28.186,kg,28.186,1389243.156
2022,Export,392,710811,0.369,kg,0.369,18078.621
2022,Export,490,710811,0.245,kg,0.245,12016.46
2022,Export,724,710811,0.033,kg,0.033,1603.242
2022,Export,826,710811,58.495,kg,58.495,3558803.318
2022,Export,842,710811,19.777,kg,19.777,1203760.318
2022,Export,56,710812,1630.339,kg,1630.339,94369048.817
2022,Export,191,710812,1.216,kg,1.216,36068.231
2022,Export,203,710812,549.025,kg,549.025,32868264.69
2022,Export,276,710812,54936.002,kg,54936.002,3183449557.852
2022,Export,372,710812,4.163,kg,4.163,137037.915
2022,Export,376,710812,90.196,kg,90.196,5298095.656
2022,Export,380,710812,35263.078,kg,35263.078,2004870227.134
2022,Export,440,710812,58.411,kg,58.411,3172344.524
2022,Export,442,710812,462.288,kg,462.288,27032786.638
2022,Export,528,710812,175.361,kg,175.361,9676928.418
2022,Export,620,710812,22.08,kg,22.08,897773.587
2022,Export,642,710812,83.562,kg,83.562,5142024.086
2022,Export,703,710812,41.052,kg,41.052,2383169.371
2022,Export,724,710812,293.072,kg,293.072,17635122.856
2022,Export,36,710813,680.102,kg,680.102,40281636.475
2022,Export,56,710813,684.138,kg,684.138,39758475.913
2022,Export,100,710813,2.634,kg,2.634,125798.466
2022,Export,124,710813,1197.046,kg,1197.046,71725969.969
2022,Export,191,710813,0.187,kg,0.187,10656.166
2022,Export,196,710813,2.035,kg,2.035,16995.83
2022,Export,203,710813,2881.142,kg,2881.142,170788028.323
2022,Export,208,710813,37.041,kg,37.041,2130260.315
2022,Export,246,710813,47.074,kg,47.074,2538783.32
2022,Export,251,710813,8236.396,kg,8236.396,415138272.677
2022,Export,268,710813,8.429,kg,8.429,44295.972
2022,Export,276,710813,54252.505,kg,54252.505,3163824527.986
2022,Export,300,710813,19.134,kg,19.134,1089649.496
2022,Export,344,710813,269.387,kg,269.387,15680404.442
2022,Export,348,710813,1.157,kg,1.157,24257.019
2022,Export,360,710813,0.512,kg,0.512,29248.955
2022,Export,372,710813,29.409,kg,29.409,1439221.16
2022,Export,380,710813,15143.009,kg,15143.009,732193497.097
2022,Export,392,710813,22.228,kg,22.228,1460716.749
2022,Export,410,710813,19.416,kg,19.416,614181.978
2022,Export,414,710813,0.772,kg,0.772,44089.676
2022,Export,440,710813,151.191,kg,151.191,8654459.052
2022,Export,442,710813,67.703,kg,67.703,3924905.862
2022,Export,528,710813,6.336,kg,6.336,188086.143
