reporter_code,trade_year,trade_flow,partner_code,commodities_code,trade_value
496,2022,Import,0,7108,9846.471
496,2022,Export,0,7108,1104152518.64
516,2022,Export,0,7108,438743261.912
558,2022,Export,0,7108,927423809.3
562,2022,Import,0,7108,26122.899
562,2022,Export,0,7108,70685210.177
579,2022,Export,0,7108,139185331.189
591,2022,Import,0,7108,3001598.0
591,2022,Export,0,7108,10544632.0
600,2022,Export,0,7108,4625468.0
604,2022,Export,0,7108,7364945838.79
620,2022,Export,0,7108,154705309.653
682,2022,Export,0,7108,981648062.125
686,2022,Import,0,7108,204104.6
686,2022,Export,0,7108,930426058.265
690,2022,Export,0,7108,65504.994
710,2022,Import,0,7108,466863426.188
748,2022,Export,0,7108,228657.3
854,2022,Export,0,7108,3365198519.419
858,2022,Export,0,7108,714215.0
20,2023,Import,0,7108,12275180.845
20,2023,Export,0,7108,3964336.872
24,2023,Import,0,7108,2818.814
24,2023,Export,0,7108,2377350.191
32,2023,Import,0,7108,31603.63
32,2023,Export,0,7108,1535082453.71
44,2023,Export,0,7108,3533.0
51,2023,Import,0,7108,1796110880.92
51,2023,Export,0,7108,1810603433.81
52,2023,Export,0,7108,616306.5
68,2023,Export,0,7108,2485820162.76
70,2023,Export,0,7108,759764.643
72,2023,Export,0,7108,20747235.573
84,2023,Export,0,7108,2450.0
96,2023,Export,0,7108,1857058.408
116,2023,Import,0,7108,224059130.74
116,2023,Export,0,7108,825416778.55
144,2023,Import,0,7108,69212437.336
170,2023,Export,0,7108,3403928661.75
188,2023,Export,0,7108,18752898.0
204,2023,Export,0,7108,5841743.333
214,2023,Import,0,7108,295674888.33
258,2023,Import,0,7108,124210.902
258,2023,Export,0,7108,205107.942
266,2023,Export,0,7108,13964382.199
268,2023,Import,0,7108,91174.31
268,2023,Export,0,7108,88765990.46
276,2023,Export,0,7108,10379099241.821
340,2023,Export,0,7108,134177111.53
344,2023,Import,0,7108,59845048716.286
360,2023,Export,0,7108,848316873.3
384,2023,Export,0,7108,2352721430.661
388,2023,Export,0,7108,66116.11
414,2023,Import,0,7108,902820501.111
414,2023,Export,0,7108,185845823.513
418,2023,Export,0,7108,703200300.6
446,2023,Export,0,7108,5448465.006
450,2023,Export,0,7108,124374089.596
454,2023,Import,0,7108,1691.51
466,2023,Import,0,7108,2337851.682
466,2023,Export,0,7108,3071051037.252
478,2023,Export,0,7108,1517800755.65
480,2023,Import,0,7108,35996579.065
480,2023,Export,0,7108,1129317.135
496,2023,Import,0,7108,976652.884
496,2023,Export,0,7108,738016290.17
504,2023,Export,0,7108,19362691.04
558,2023,Export,0,7108,1128988757.52
