trade_year,trade_flow,partner_code,commodities_code,quantity,units,weight_kg,trade_value
2020,Export,152,7115,0.099,kg,0.099,380.583
2020,Export,124,7115,11.804,kg,11.804,45217.901
2020,Export,112,7115,93.0,kg,93.0,7274.777
2020,Export,76,7115,0.829,kg,0.829,3175.786
2020,Export,56,7115,13.499,kg,13.499,51709.126
2020,Export,51,7115,0.001,kg,0.001,5.33
2020,Export,50,7115,0.019,kg,0.019,74.624
2020,Export,48,7115,2.829,kg,2.829,10836.476
2020,Export,40,7115,9.073,kg,9.073,40314.036
2020,Export,36,7115,9.591,kg,9.591,36738.478
2020,Export,32,7115,0.063,kg,0.063,239.863
2020,Export,31,7115,0.054,kg,0.054,207.881
2020,Export,842,7114,892.825,kg,892.825,6520113.0
2020,Export,826,7114,331.955,kg,331.955,525277.515
2020,Export,818,7114,0.396,kg,0.396,10.661
2020,Export,800,7114,0.594,kg,0.594,15.991
2020,Export,792,7114,4.553,kg,4.553,56480.8
2020,Export,784,7114,53.352,kg,53.352,468500.351
2020,Export,752,7114,104.576,kg,104.576,14528.234
2020,Export,724,7114,4.341,kg,4.341,776.09
2020,Export,710,7114,3.468,kg,3.468,13691.378
2020,Export,705,7114,0.396,kg,0.396,10.661
2020,Export,702,7114,11.464,kg,11.464,78037.551
2020,Export,699,7114,77.674,kg,77.674,2089.473
2020,Export,688,7114,0.198,kg,0.198,5.33
2020,Export,682,7114,9.0,kg,9.0,51710.192
2020,Export,674,7114,0.519,kg,0.519,10340.759
2020,Export,643,7114,16.933,kg,16.933,142393.319
2020,Export,642,7114,5.0,kg,5.0,1023.415
2020,Export,634,7114,17.731,kg,17.731,139614.107
2020,Export,616,7114,23.0,kg,23.0,1151.342
2020,Export,566,7114,1.594,kg,1.594,53.303
2020,Export,528,7114,133.198,kg,133.198,35750.243
2020,Export,490,7114,163.816,kg,163.816,170580.949
2020,Export,484,7114,27.833,kg,27.833,6504.018
2020,Export,480,7114,0.396,kg,0.396,10.661
2020,Export,446,7114,0.981,kg,0.981,19568.554
2020,Export,442,7114,0.333,kg,0.333,533.029
2020,Export,422,7114,10.415,kg,10.415,5305.769
2020,Export,414,7114,2.0,kg,2.0,2009.519
2020,Export,410,7114,27.275,kg,27.275,15054.866
2020,Export,404,7114,4.198,kg,4.198,26.651
2020,Export,392,7114,7.495,kg,7.495,23768.821
2020,Export,380,7114,64.18,kg,64.18,79226.206
2020,Export,376,7114,92.115,kg,92.115,353280.841
2020,Export,364,7114,1.0,kg,1.0,314.487
2020,Export,344,7114,116.916,kg,116.916,822731.05
2020,Export,300,7114,7.131,kg,7.131,1686.503
2020,Export,288,7114,0.198,kg,0.198,5.33
2020,Export,276,7114,10888.075,kg,10888.075,743565.609
2020,Export,251,7114,112.175,kg,112.175,2549327.598
2020,Export,233,7114,23.0,kg,23.0,1151.342
2020,Export,231,7114,0.396,kg,0.396,10.661
2020,Export,208,7114,5.016,kg,5.016,1566.039
2020,Export,156,7114,55.58,kg,55.58,465635.854
2020,Export,124,7114,39.983,kg,39.983,3989.188
2020,Export,100,7114,3.0,kg,3.0,511.708
2020,Export,76,7114,0.332,kg,0.332,530.897
2020,Export,56,7114,5.913,kg,5.913,17452.43
2020,Export,48,7114,2.0,kg,2.0,4365.506
2020,Export,40,7114,36.422,kg,36.422,22019.421
2020,Export,36,7114,0.111,kg,0.111,2213.136
2020,Export,894,7113,0.0,kg,0.0,10.661
2020,Export,862,7113,0.262,kg,0.262,82629.062
2020,Export,860,7113,0.215,kg,0.215,67774.614
2020,Export,858,7113,1.661,kg,1.661,59759.993
2020,Export,842,7113,5825.344,kg,5825.344,947154417.132
2020,Export,826,7113,2813.909,kg,2813.909,754389766.996
2020,Export,818,7113,3.437,kg,3.437,152756.465
2020,Export,807,7113,2.091,kg,2.091,1458.367
2020,Export,804,7113,45.624,kg,45.624,8143023.716
2020,Export,796,7113,1.076,kg,1.076,28606.591
2020,Export,792,7113,165.913,kg,165.913,16551705.798
2020,Export,784,7113,3296.297,kg,3296.297,614512826.976
2020,Export,764,7113,48.542,kg,48.542,6143934.307
2020,Export,762,7113,0.318,kg,0.318,100302.165
2020,Export,752,7113,40.511,kg,40.511,3747772.54
2020,Export,740,7113,0.181,kg,0.181,56902.959
2020,Export,724,7113,163.326,kg,163.326,28820823.523
2020,Export,710,7113,19.26,kg,19.26,1478690.174
2020,Export,705,7113,3.0,kg,3.0,997.83
2020,Export,703,7113,1.558,kg,1.558,29464.767
2020,Export,702,7113,1070.916,kg,1070.916,313894387.688
2020,Export,699,7113,86.79,kg,86.79,219768.849
2020,Export,690,7113,0.057,kg,0.057,17831.946
2020,Export,688,7113,0.022,kg,0.022,21.321
2020,Export,686,7113,5.056,kg,5.056,299.562
2020,Export,682,7113,172.623,kg,172.623,67877337.645
2020,Export,659,7113,0.053,kg,0.053,16786.144
2020,Export,652,7113,136.618,kg,136.618,3973217.079
2020,Export,643,7113,485.073,kg,485.073,47820129.435
2020,Export,642,7113,2.282,kg,2.282,52703.758
